\  ****************** Hyper photometry ******************
\ Survey code: 15
\ Detection threshold: 6.0 sigma
\ Convert from MJy/sr: None
\ Convert from Jy/beam: None
\ Convert to mJy: True
\ Estimated r.m.s. to identify sources: 0.00059 mJy
\  ******************************************************
\ MAP_ID = Map identifier
\ HYPER_ID = Source identifier
\ FLUX_PEAK = Peak flux (mJy/beam)
\ FLUX = Integrated flux density (mJy)
\ FLUX_ERR = Flux density uncertainty (mJy)
\ RESIDUALS = Mean background level (mJy)
\ POLYN = Polynomial background order
\ NMSE = Normalized Mean Squared Error of fit: scale-independent metric of
\ model-data agreement
\ CHI2_RED = Reduced chi-squared of Gaussian + background fit (valid only if
\ residuals are Gaussian-distributed with constant variance)
\ BIC = Bayesian Information Criterion: model selection metric that penalizes
\ overfitting; lower BIC indicates better trade-off between goodness of fit and
\ model complexity
\ FWHM_1 = First axis FWHM (arcsec)
\ FWHM_2 = Second axis FWHM (arcsec)
\ PA = Position angle (deg East of North)
\ STATUS = Fit status flag: 1 = fit succeeded, 0 = fit failed
\ GLON = Galactic longitude (deg)
\ GLAT = Galactic latitude (deg)
\ RA = Right Ascension (deg, J2000)
\ DEC = Declination (deg, J2000)
\ DEBLEND = Deblending flag
\ CLUSTER = Cluster flag
|MAP_ID|HYPER_ID| FLUX_PEAK|  FLUX|FLUX_ERR|RESIDUALS|POLYN|  NMSE|CHI2_RED|       BIC|FWHM_1|FWHM_2|    PA|STATUS|    GLON|    GLAT|       RA|      DEC|DEBLEND|CLUSTER|
|  char|    long|    double|double|  double|   double| long|double|  double|    double|double|double|double|  long|  double|  double|   double|   double|   long|   long|
|      |        |mJy / beam|   mJy|     mJy|      mJy|     |      |        |          |arcsec|arcsec|   deg|      |     deg|     deg|      deg|      deg|       |       |
|  null|    null|      null|  null|    null|     null| null|  null|    null|      null|  null|  null|  null|  null|    null|    null|     null|     null|   null|   null|
  89378       28    0.00005  0.133    0.010   0.00000     2  0.736    0.000  -65278.78  0.059  0.020   29.8      1 19.88334 -0.53436 277.31010 -11.84020       1       3 
  89378       29    0.00006  0.344    0.020   0.00000     2  0.736    0.000  -65278.78  0.046  0.059  -49.6      1 19.88333 -0.53434 277.31008 -11.84020       1       3 
  89378       30    0.00008  1.747    0.113   0.00000     2  0.189    0.042  -67513.44  0.059  0.059   90.0      1 19.88338 -0.53433 277.31009 -11.84015       1       9 
  89378       31    0.00006  0.578    0.056   0.00000     2  0.189    0.042  -67513.44  0.059  0.059  -90.0      1 19.88340 -0.53434 277.31011 -11.84015       1       9 
  89378       32    0.00017  3.095    0.129   0.00000     2  0.189    0.042  -67513.44  0.059  0.059  -84.0      1 19.88341 -0.53432 277.31010 -11.84013       1       9 
  89378       33    0.00166 23.565    0.657   0.00000     2  0.189    0.042  -67513.44  0.059  0.059   90.0      1 19.88340 -0.53430 277.31007 -11.84013       1       9 
  89378       34    0.00006  1.838    0.085   0.00000     2  0.189    0.042  -67513.44  0.059  0.059  -89.9      1 19.88339 -0.53426 277.31004 -11.84012       1       9 
  89378       35    0.00041  4.240    0.158   0.00000     2  0.189    0.042  -67513.44  0.036  0.059    5.2      1 19.88340 -0.53428 277.31006 -11.84011       1       9 
  89378       36    0.00012  1.724    0.068   0.00000     2  0.189    0.042  -67513.44  0.059  0.059  -89.3      1 19.88343 -0.53431 277.31010 -11.84010       1       9 
  89378       37    0.00018  2.496    0.079   0.00000     2  0.189    0.042  -67513.44  0.059  0.055   73.8      1 19.88342 -0.53429 277.31008 -11.84010       1       9 
  89378       38    0.00006  0.106    0.011   0.00000     2  0.189    0.042  -67513.44  0.025  0.019    8.2      1 19.88341 -0.53427 277.31005 -11.84010       1       9 
  89378       39    0.00004  0.313    0.017   0.00000     2  0.456    0.000  -42333.05  0.059  0.059   90.0      1 19.88411 -0.53555 277.31154 -11.84008       1       2 
  89378       40    0.00010  0.412    0.022   0.00000     2  0.456    0.000  -42333.05  0.059  0.026   24.6      1 19.88412 -0.53554 277.31154 -11.84006       1       2 
  89378       41    0.00006  0.390    0.019   0.00000     2  0.596    0.000 -119466.81  0.059  0.059   90.0      1 19.88360 -0.53443 277.31029 -11.84000       1       3 
  89378       42    0.00006  0.631    0.022   0.00000     2  0.596    0.000 -119466.81  0.059  0.059   89.6      1 19.88360 -0.53441 277.31026 -11.84000       1       3 
  89378       43    0.00008  0.990    0.030   0.00000     2  0.596    0.000 -119466.81  0.059  0.059   90.0      1 19.88359 -0.53438 277.31024 -11.83999       1       3 
  89378       44    0.00008  0.672    0.026   0.00000     2  0.367    0.004 -100589.51  0.034  0.058  -58.3      1 19.88371 -0.53389 277.30985 -11.83966       1       6 
  89378       45    0.00009  0.883    0.044   0.00000     2  0.367    0.004 -100589.51  0.059  0.030   82.6      1 19.88373 -0.53389 277.30986 -11.83964       1       6 
  89378       46    0.00008  0.479    0.030   0.00000     2  0.367    0.004 -100589.51  0.024  0.059   72.5      1 19.88372 -0.53385 277.30982 -11.83963       1       6 
  89378       47    0.00051  5.744    0.193   0.00000     2  0.367    0.004 -100589.51  0.059  0.057  -75.8      1 19.88373 -0.53387 277.30984 -11.83963       1       6 
  89378       48    0.00112 11.238    0.338   0.00000     2  0.367    0.004 -100589.51  0.059  0.059   32.9      1 19.88374 -0.53385 277.30983 -11.83962       1       6 
  89378       49    0.00040  6.821    0.185   0.00000     2  0.367    0.004 -100589.51  0.059  0.059  -68.0      1 19.88375 -0.53382 277.30981 -11.83959       1       6 
  89378       50    0.00008  0.970    0.043   0.00000     2  0.960    0.000  -33423.32  0.059  0.059   90.0      1 19.88378 -0.53387 277.30986 -11.83959       1       2 
  89378       51    0.00002  0.015    0.002   0.00000     2  0.960    0.000  -33423.32  0.019  0.019   90.0      1 19.88379 -0.53386 277.30987 -11.83957       1       2 
  89378       52    0.00005  0.468    0.019   0.00000     2  0.925    0.001 -118675.54  0.059  0.059  -90.0      1 19.88381 -0.53379 277.30981 -11.83952       1       7 
  89378       53    0.00008  0.686    0.031   0.00000     2  0.925    0.001 -118675.54  0.059  0.047  -90.0      1 19.88380 -0.53378 277.30979 -11.83952       1       7 
  89378       54    0.00009  0.970    0.038   0.00000     2  0.925    0.001 -118675.54  0.059  0.059  -87.0      1 19.88380 -0.53376 277.30978 -11.83952       1       7 
  89378       55    0.00003  0.101    0.010   0.00000     2  0.925    0.001 -118675.54  0.029  0.048  -69.7      1 19.88383 -0.53378 277.30981 -11.83951       1       7 
  89378       56    0.00013  1.013    0.045   0.00000     2  0.925    0.001 -118675.54  0.059  0.059   84.7      1 19.88381 -0.53374 277.30976 -11.83951       1       7 
  89378       57    0.00003  0.122    0.006   0.00000     2  0.925    0.001 -118675.54  0.021  0.058  -44.8      1 19.88384 -0.53377 277.30980 -11.83949       1       7 
  89378       58    0.00004  0.193    0.018   0.00000     2  0.925    0.001 -118675.54  0.059  0.044   65.6      1 19.88381 -0.53372 277.30974 -11.83949       1       7 
  89378       59    0.00005  0.189    0.018   0.00000     2  0.840    0.000 -217503.12  0.059  0.059  -90.0      1 19.88388 -0.53359 277.30966 -11.83938       1       6 
  89378       60    0.00005  0.140    0.009   0.00000     2  0.840    0.000 -217503.12  0.059  0.019   40.0      1 19.88389 -0.53361 277.30969 -11.83937       1       6 
  89378       61    0.00004  0.062    0.007   0.00000     2  0.840    0.000 -217503.12  0.059  0.019   32.0      1 19.88388 -0.53358 277.30965 -11.83937       1       6 
  89378       62    0.00007  0.711    0.025   0.00000     2  0.840    0.000 -217503.12  0.059  0.059   90.0      1 19.88391 -0.53364 277.30972 -11.83937       1       6 
  89378       63    0.00004  0.164    0.015   0.00000     2  0.840    0.000 -217503.12  0.059  0.059   90.0      1 19.88390 -0.53360 277.30967 -11.83936       1       6 
  89378       64    0.00005  0.358    0.016   0.00000     2  0.840    0.000 -217503.12  0.059  0.045   29.1      1 19.88392 -0.53362 277.30971 -11.83935       1       6 
