\  ****************** Hyper photometry ******************
\ Survey code: 15
\ Detection threshold: 6.0 sigma
\ Convert from MJy/sr: None
\ Convert from Jy/beam: None
\ Convert to mJy: True
\ Estimated r.m.s. to identify sources: 0.00104 mJy
\  ******************************************************
\ MAP_ID = Map identifier
\ HYPER_ID = Source identifier
\ FLUX_PEAK = Peak flux (mJy/beam)
\ FLUX = Integrated flux density (mJy)
\ FLUX_ERR = Flux density uncertainty (mJy)
\ RESIDUALS = Mean background level (mJy)
\ POLYN = Polynomial background order
\ NMSE = Normalized Mean Squared Error of fit: scale-independent metric of
\ model-data agreement
\ CHI2_RED = Reduced chi-squared of Gaussian + background fit (valid only if
\ residuals are Gaussian-distributed with constant variance)
\ BIC = Bayesian Information Criterion: model selection metric that penalizes
\ overfitting; lower BIC indicates better trade-off between goodness of fit and
\ model complexity
\ FWHM_1 = First axis FWHM (arcsec)
\ FWHM_2 = Second axis FWHM (arcsec)
\ PA = Position angle (deg East of North)
\ STATUS = Fit status flag: 1 = fit succeeded, 0 = fit failed
\ GLON = Galactic longitude (deg)
\ GLAT = Galactic latitude (deg)
\ RA = Right Ascension (deg, J2000)
\ DEC = Declination (deg, J2000)
\ DEBLEND = Deblending flag
\ CLUSTER = Cluster flag
|            MAP_ID|HYPER_ID| FLUX_PEAK|  FLUX|FLUX_ERR|RESIDUALS|POLYN|  NMSE|CHI2_RED|       BIC|FWHM_1|FWHM_2|    PA|STATUS|    GLON|    GLAT|       RA|      DEC|DEBLEND|CLUSTER|
|              char|    long|    double|double|  double|   double| long|double|  double|    double|double|double|double|  long|  double|  double|   double|   double|   long|   long|
|                  |        |mJy / beam|   mJy|     mJy|      mJy|     |      |        |          |arcsec|arcsec|   deg|      |     deg|     deg|      deg|      deg|       |       |
|              null|    null|      null|  null|    null|     null| null|  null|    null|      null|  null|  null|  null|  null|    null|    null|     null|     null|   null|   null|
 G010.3208-00.1570B       25    0.00020  0.534    0.032   0.00000     1  0.155    0.008 -198552.57  0.046  0.030  -29.7      1 10.32256 -0.15982 272.25610 -20.08557       1      19 
 G010.3208-00.1570B       26    0.00035  1.465    0.058   0.00000     1  0.155    0.008 -198552.57  0.046  0.046   82.7      1 10.32257 -0.15981 272.25609 -20.08556       1      19 
 G010.3208-00.1570B       27    0.00038  1.751    0.058   0.00000     1  0.155    0.008 -198552.57  0.046  0.046  -90.0      1 10.32258 -0.15982 272.25610 -20.08555       1      19 
 G010.3208-00.1570B       28    0.00113  7.091    0.241   0.00000     1  0.155    0.008 -198552.57  0.046  0.046  -82.3      1 10.32257 -0.15978 272.25607 -20.08554       1      19 
 G010.3208-00.1570B       29    0.00027  1.425    0.047   0.00000     1  0.155    0.008 -198552.57  0.046  0.046   90.0      1 10.32260 -0.15983 272.25612 -20.08553       1      19 
 G010.3208-00.1570B       30    0.00767 22.426    1.019   0.00000     1  0.155    0.008 -198552.57  0.046  0.038  -26.6      1 10.32258 -0.15977 272.25606 -20.08553       1      19 
 G010.3208-00.1570B       31    0.00076  4.704    0.163   0.00000     1  0.155    0.008 -198552.57  0.046  0.046  -83.0      1 10.32259 -0.15978 272.25608 -20.08552       1      19 
 G010.3208-00.1570B       32    0.00035  1.961    0.067   0.00000     1  0.155    0.008 -198552.57  0.046  0.046   85.4      1 10.32261 -0.15979 272.25609 -20.08551       1      19 
 G010.3208-00.1570B       33    0.00096  6.379    0.190   0.00000     1  0.155    0.008 -198552.57  0.046  0.046   83.1      1 10.32259 -0.15974 272.25604 -20.08550       1      19 
 G010.3208-00.1570B       34    0.00025  1.282    0.042   0.00000     1  0.155    0.008 -198552.57  0.046  0.046   85.1      1 10.32264 -0.15983 272.25615 -20.08550       1      19 
 G010.3208-00.1570B       35    0.00079  4.703    0.143   0.00000     1  0.155    0.008 -198552.57  0.046  0.046  -90.0      1 10.32260 -0.15975 272.25606 -20.08550       1      19 
 G010.3208-00.1570B       36    0.00027  1.697    0.075   0.00000     1  0.155    0.008 -198552.57  0.046  0.046   85.1      1 10.32259 -0.15972 272.25602 -20.08549       1      19 
 G010.3208-00.1570B       37    0.00018  0.575    0.028   0.00000     1  0.155    0.008 -198552.57  0.046  0.042  -87.8      1 10.32265 -0.15981 272.25614 -20.08549       1      19 
 G010.3208-00.1570B       38    0.00020  0.802    0.034   0.00000     1  0.155    0.008 -198552.57  0.046  0.046  -90.0      1 10.32263 -0.15978 272.25609 -20.08549       1      19 
 G010.3208-00.1570B       39    0.00024  1.016    0.042   0.00000     1  0.155    0.008 -198552.57  0.046  0.046   85.8      1 10.32265 -0.15980 272.25612 -20.08548       1      19 
 G010.3208-00.1570B       40    0.00031  1.934    0.084   0.00000     1  0.155    0.008 -198552.57  0.046  0.046  -82.3      1 10.32261 -0.15973 272.25603 -20.08548       1      19 
 G010.3208-00.1570B       41    0.00034  1.328    0.058   0.00000     1  0.155    0.008 -198552.57  0.046  0.039  -77.2      1 10.32263 -0.15977 272.25608 -20.08548       1      19 
 G010.3208-00.1570B       42    0.00042  2.056    0.076   0.00000     1  0.155    0.008 -198552.57  0.046  0.046  -90.0      1 10.32262 -0.15976 272.25607 -20.08548       1      19 
 G010.3208-00.1570B       43    0.00022  1.046    0.040   0.00000     1  0.155    0.008 -198552.57  0.046  0.046  -90.0      1 10.32264 -0.15978 272.25610 -20.08548       1      19 
