\  ****************** Hyper photometry ******************
\ Survey code: 15
\ Detection threshold: 6.0 sigma
\ Convert from MJy/sr: None
\ Convert from Jy/beam: None
\ Convert to mJy: True
\ Estimated r.m.s. to identify sources: 0.00052 mJy
\  ******************************************************
\ MAP_ID = Map identifier
\ HYPER_ID = Source identifier
\ FLUX_PEAK = Peak flux (mJy/beam)
\ FLUX = Integrated flux density (mJy)
\ FLUX_ERR = Flux density uncertainty (mJy)
\ RESIDUALS = Mean background level (mJy)
\ POLYN = Polynomial background order
\ NMSE = Normalized Mean Squared Error of fit: scale-independent metric of
\ model-data agreement
\ CHI2_RED = Reduced chi-squared of Gaussian + background fit (valid only if
\ residuals are Gaussian-distributed with constant variance)
\ BIC = Bayesian Information Criterion: model selection metric that penalizes
\ overfitting; lower BIC indicates better trade-off between goodness of fit and
\ model complexity
\ FWHM_1 = First axis FWHM (arcsec)
\ FWHM_2 = Second axis FWHM (arcsec)
\ PA = Position angle (deg East of North)
\ STATUS = Fit status flag: 1 = fit succeeded, 0 = fit failed
\ GLON = Galactic longitude (deg)
\ GLAT = Galactic latitude (deg)
\ RA = Right Ascension (deg, J2000)
\ DEC = Declination (deg, J2000)
\ DEBLEND = Deblending flag
\ CLUSTER = Cluster flag
|MAP_ID|HYPER_ID| FLUX_PEAK|  FLUX|FLUX_ERR|RESIDUALS|POLYN|  NMSE|CHI2_RED|       BIC|FWHM_1|FWHM_2|    PA|STATUS|     GLON|    GLAT|       RA|      DEC|DEBLEND|CLUSTER|
|  char|    long|    double|double|  double|   double| long|double|  double|    double|double|double|double|  long|   double|  double|   double|   double|   long|   long|
|      |        |mJy / beam|   mJy|     mJy|      mJy|     |      |        |          |arcsec|arcsec|   deg|      |      deg|     deg|      deg|      deg|       |       |
|  null|    null|      null|  null|    null|     null| null|  null|    null|      null|  null|  null|  null|  null|     null|    null|     null|     null|   null|   null|
 787212        1    0.16182  0.186    0.017   0.00003     2  0.719    0.000  -21374.38  0.050  0.056  -11.7      1 328.25336 -0.53302 239.49894 -53.96789       0       1 
 787212        2    0.18798  0.175    0.016   0.00003     2  0.751    0.000  -21087.49  0.050  0.050  -89.9      1 328.25336 -0.53246 239.49834 -53.96746       0       1 
 787212        3    0.19545  0.197    0.018   0.00007     3  0.939    0.000  -40299.55  0.050  0.056  -37.2      1 328.25408 -0.53291 239.49976 -53.96734       0       1 
 787212        4    0.16343  0.106    0.015   0.00001     2  0.964    0.000  -20689.49  0.050  0.050  -90.0      1 328.25420 -0.53301 239.50003 -53.96734       0       1 
 787212        5    0.21158  0.037    0.019   0.00001     1  1.010    0.000  -28856.81  0.050  0.056  -69.2      1 328.25399 -0.53265 239.49936 -53.96720       0       1 
 787212        6    0.21673  0.043    0.024   0.00005     2  1.003    0.000  -19366.79  0.050  0.050   89.9      1 328.25398 -0.53261 239.49930 -53.96717       0       1 
 787212        7    0.24391  0.185    0.024   0.00006     2  0.947    0.000  -19666.79  0.056  0.050  -42.0      1 328.25418 -0.53273 239.49969 -53.96714       0       1 
 787212        8    0.26374 -0.057    0.026   0.00004     3  1.046    0.000  -18765.78  0.056  0.050  -87.3      1 328.25392 -0.53245 239.49904 -53.96709       0       1 
 787212        9    0.22415  0.271    0.020   0.00001     2  0.918    0.000  -42418.36  0.050  0.056   39.3      1 328.25374 -0.53229 239.49864 -53.96709       0       1 
 787212       10    0.22567  0.174    0.019   0.00002     3  0.916    0.000  -19907.93  0.050  0.056   38.3      1 328.25428 -0.53272 239.49981 -53.96707       0       1 
 787212       11    0.20028  0.055    0.017   0.00001     0  1.004    0.000  -97903.73  0.050  0.050  -90.0      1 328.25367 -0.53217 239.49842 -53.96704       0       1 
 787212       12    0.19716  0.029    0.015  -0.00003     3  1.018    0.000  -25955.50  0.050  0.050   90.0      1 328.25423 -0.53264 239.49966 -53.96704       0       1 
 787212       13    0.19265  0.015    0.020  -0.00001     2  1.039    0.000  -19569.25  0.056  0.050  -63.1      1 328.25431 -0.53268 239.49981 -53.96702       0       1 
 787212       14    0.21822  0.094    0.019   0.00006     3  0.988    0.000  -26051.20  0.050  0.050  -90.0      1 328.25391 -0.53233 239.49891 -53.96701       0       1 
 787212       15    0.20227  0.165    0.021   0.00005     1  0.933    0.000  -36306.55  0.055  0.050   72.2      1 328.25368 -0.53213 239.49837 -53.96701       0       1 
 787212       16    0.22581  0.159    0.019   0.00008     2  0.963    0.000  -26237.92  0.056  0.050  -22.8      1 328.25375 -0.53218 239.49853 -53.96700       0       1 
 787212       17    0.20328  0.305    0.020   0.00000     2  0.833    0.000  -80675.93  0.056  0.050   58.4      1 328.25322 -0.53173 239.49734 -53.96700       0       1 
 787212       18    0.21547  0.141    0.023   0.00002     0  0.989    0.000  -85446.63  0.050  0.056  -53.4      1 328.25413 -0.53249 239.49936 -53.96699       0       1 
 787212       19    0.49540  0.315    0.038  -0.00001     1  0.939    0.000  -30162.09  0.050  0.050   89.9      1 328.25405 -0.53240 239.49916 -53.96698       0       1 
 787212       20    0.17799  0.421    0.021   0.00006     3  0.840    0.000  -30316.25  0.056  0.056    1.7      1 328.25394 -0.53231 239.49891 -53.96697       0       1 
 787212       21    0.18685  0.204    0.020   0.00004     1  0.994    0.000  -44554.93  0.056  0.056   90.0      1 328.25421 -0.53253 239.49952 -53.96697       0       1 
 787212       22    0.17728  0.004    0.017  -0.00001     2  1.005    0.000  -40561.65  0.050  0.050  -90.0      1 328.25375 -0.53214 239.49849 -53.96697       0       1 
