\  ****************** Hyper photometry ******************
\ Survey code: 15
\ Detection threshold: 6.0 sigma
\ Convert from MJy/sr: None
\ Convert from Jy/beam: None
\ Convert to mJy: True
\ Estimated r.m.s. to identify sources: 0.00057 mJy
\  ******************************************************
\ MAP_ID = Map identifier
\ HYPER_ID = Source identifier
\ FLUX_PEAK = Peak flux (mJy/beam)
\ FLUX = Integrated flux density (mJy)
\ FLUX_ERR = Flux density uncertainty (mJy)
\ RESIDUALS = Mean background level (mJy)
\ POLYN = Polynomial background order
\ NMSE = Normalized Mean Squared Error of fit: scale-independent metric of
\ model-data agreement
\ CHI2_RED = Reduced chi-squared of Gaussian + background fit (valid only if
\ residuals are Gaussian-distributed with constant variance)
\ BIC = Bayesian Information Criterion: model selection metric that penalizes
\ overfitting; lower BIC indicates better trade-off between goodness of fit and
\ model complexity
\ FWHM_1 = First axis FWHM (arcsec)
\ FWHM_2 = Second axis FWHM (arcsec)
\ PA = Position angle (deg East of North)
\ STATUS = Fit status flag: 1 = fit succeeded, 0 = fit failed
\ GLON = Galactic longitude (deg)
\ GLAT = Galactic latitude (deg)
\ RA = Right Ascension (deg, J2000)
\ DEC = Declination (deg, J2000)
\ DEBLEND = Deblending flag
\ CLUSTER = Cluster flag
|MAP_ID|HYPER_ID| FLUX_PEAK|  FLUX|FLUX_ERR|RESIDUALS|POLYN|  NMSE|CHI2_RED|       BIC|FWHM_1|FWHM_2|    PA|STATUS|     GLON|    GLAT|       RA|      DEC|DEBLEND|CLUSTER|
|  char|    long|    double|double|  double|   double| long|double|  double|    double|double|double|double|  long|   double|  double|   double|   double|   long|   long|
|      |        |mJy / beam|   mJy|     mJy|      mJy|     |      |        |          |arcsec|arcsec|   deg|      |      deg|     deg|      deg|      deg|       |       |
|  null|    null|      null|  null|    null|     null| null|  null|    null|      null|  null|  null|  null|  null|     null|    null|     null|     null|   null|   null|
 767784        1    0.31629  0.329    0.022   0.00004     2  0.570    0.000  -20439.41  0.051  0.051  -89.8      1 323.46064 -0.08203 232.33648 -56.52460       0       1 
 767784        2    0.54973  0.552    0.043  -0.00001     2  0.574    0.000  -34974.64  0.053  0.051   57.1      1 323.45884 -0.07982 232.33152 -56.52380       0       1 
 767784        3    0.19884  0.282    0.017  -0.00001     2  0.697    0.000  -29905.63  0.051  0.057   -5.9      1 323.45774 -0.07889 232.32893 -56.52365       0       1 
 767784        4    0.21741  0.170    0.018   0.00002     1  0.962    0.000  -49325.44  0.051  0.057  -12.9      1 323.45839 -0.07929 232.33030 -56.52362       0       1 
 767784        5    0.26148  0.197    0.021   0.00007     2  0.805    0.000  -20407.17  0.051  0.051   90.0      1 323.45925 -0.07963 232.33194 -56.52341       0       1 
 767784        6    0.21517  0.117    0.015   0.00004     1  0.981    0.000  -24387.42  0.051  0.051   90.0      1 323.45856 -0.07913 232.33039 -56.52338       0       1 
 767784        7    0.26312  0.093    0.020   0.00009     3  1.010    0.000  -22019.86  0.051  0.051   90.0      1 323.45848 -0.07896 232.33009 -56.52329       0       1 
 767784        8    0.18502  0.237    0.020   0.00008     2  0.771    0.000  -20698.03  0.051  0.057   13.5      1 323.45858 -0.07899 232.33028 -56.52326       0       1 
 767784        9    0.20299  0.233    0.018   0.00005     2  0.848    0.000  -20290.77  0.051  0.057   18.4      1 323.45934 -0.07950 232.33193 -56.52325       0       1 
 767784       10    0.22023  0.429    0.022   0.00008     2  0.573    0.000  -20554.44  0.057  0.051  -35.6      1 323.45908 -0.07930 232.33134 -56.52324       0       1 
 767784       11    0.20809  0.188    0.020   0.00002     3  0.948    0.000  -48132.11  0.051  0.057  -31.6      1 323.45837 -0.07881 232.32978 -56.52323       0       1 
 767784       12    0.20217  0.183    0.017   0.00003     1  0.971    0.000 -102128.62  0.051  0.051  -90.0      1 323.45932 -0.07945 232.33186 -56.52322       0       1 
 767784       13    0.22428  0.137    0.020   0.00003     2  0.928    0.000  -36449.09  0.051  0.051   89.9      1 323.45841 -0.07877 232.32980 -56.52317       0       1 
 767784       14    0.26411  0.420    0.024   0.00013     3  0.687    0.000  -19944.13  0.051  0.057  -26.0      1 323.45847 -0.07871 232.32982 -56.52310       0       1 
 767784       15    0.21478  0.254    0.020   0.00008     2  0.894    0.000  -19058.24  0.051  0.057  -37.3      1 323.45873 -0.07889 232.33040 -56.52310       0       1 
 767784       16    0.20289  0.151    0.022   0.00007     2  0.917    0.000  -26070.34  0.051  0.057   10.6      1 323.45929 -0.07925 232.33162 -56.52308       0       1 
 767784       17    0.23664  0.311    0.024   0.00000     2  0.895    0.000  -46793.41  0.051  0.057   -0.5      1 323.45867 -0.07883 232.33025 -56.52307       0       1 
 767784       18    0.22724  0.240    0.021   0.00000     1  0.862    0.000  -23574.76  0.051  0.054  -11.6      1 323.45858 -0.07873 232.33002 -56.52305       0       1 
 767784       19    0.19284  0.432    0.022   0.00011     2  0.710    0.000  -20495.85  0.057  0.057   90.0      1 323.45945 -0.07933 232.33193 -56.52305       0       1 
 767784       20    0.24016  0.371    0.021   0.00006     3  0.718    0.000  -20457.41  0.051  0.057   35.8      1 323.45937 -0.07927 232.33176 -56.52304       0       1 
 767784       21    0.23534  0.255    0.020   0.00005     2  0.818    0.000  -20054.23  0.051  0.057  -25.6      1 323.45915 -0.07911 232.33125 -56.52304       0       1 
 767784       22    0.17824  0.166    0.018   0.00001     3  0.971    0.000  -65623.57  0.051  0.057   31.4      1 323.45944 -0.07929 232.33187 -56.52303       0       1 
 767784       23    0.21004  0.044    0.021   0.00000     2  1.007    0.000  -20214.55  0.051  0.051  -90.0      1 323.45883 -0.07887 232.33053 -56.52302       0       1 
 767784       24    0.34920  0.633    0.034   0.00012     2  0.539    0.000  -19230.03  0.051  0.057  -29.0      1 323.45902 -0.07900 232.33095 -56.52302       0       1 
 767784       25    0.22018  0.186    0.026   0.00006     2  0.899    0.000  -28218.88  0.051  0.057   23.0      1 323.45861 -0.07871 232.33003 -56.52302       0       1 
 767784       26    0.30764 -0.053    0.037   0.00007     2  0.999    0.000  -83971.91  0.051  0.057   -0.6      1 323.45889 -0.07889 232.33063 -56.52301       0       1 
 767784       27    0.17655  0.079    0.019   0.00007     1  0.988    0.000  -26826.61  0.051  0.051   36.0      1 323.45896 -0.07893 232.33079 -56.52300       0       1 
 767784       28    0.17361 -0.248    0.030  -0.00008     1  1.002    0.000  -33637.10  0.051  0.051  -90.0      1 323.45893 -0.07891 232.33072 -56.52299       0       1 
 767784       29    0.22312  0.366    0.020   0.00015     2  0.742    0.000  -22008.26  0.051  0.057  -15.5      1 323.45850 -0.07860 232.32976 -56.52299       0       1 
 767784       30    0.26928  0.443    0.025   0.00008     2  0.625    0.000  -20211.73  0.051  0.057  -37.9      1 323.45858 -0.07866 232.32993 -56.52299       0       1 
 767784       31    0.27383  0.446    0.030   0.00015     2  0.925    0.000  -22327.75  0.057  0.057  -90.0      1 323.45886 -0.07884 232.33054 -56.52298       0       1 
 767784       32    0.28568  0.225    0.027   0.00004     2  0.912    0.000  -18333.21  0.051  0.057   14.5      1 323.45863 -0.07869 232.33005 -56.52298       0       1 
 767784       33    0.21550  0.299    0.023   0.00007     1  0.838    0.000  -21820.64  0.051  0.057   20.3      1 323.45940 -0.07919 232.33171 -56.52297       0       1 
 767784       34    0.21363 -0.072    0.024   0.00044     3  1.000    0.000  -87327.30  0.051  0.051  -90.0      1 323.45881 -0.07879 232.33042 -56.52297       0       1 
 767784       35    0.17939 -0.032    0.020   0.00007     2  0.991    0.000  -18589.35  0.051  0.051  -90.0      1 323.45908 -0.07894 232.33097 -56.52294       0       1 
 767784       36    0.64957  1.145    0.063   0.00014     2  0.544    0.000  -17883.18  0.057  0.057  -90.0      1 323.45903 -0.07891 232.33087 -56.52294       0       1 
 767784       37    0.19744  0.338    0.017   0.00007     2  0.645    0.000  -23430.49  0.051  0.057   32.0      1 323.45955 -0.07927 232.33201 -56.52294       0       1 
 767784       38    0.17390  0.267    0.021   0.00001     2  0.798    0.000  -20070.25  0.051  0.057   20.7      1 323.45948 -0.07921 232.33184 -56.52293       0       1 
 767784       39    0.31041  0.368    0.033   0.00030     3  0.992    0.000  -88026.16  0.051  0.057    2.6      1 323.45883 -0.07874 232.33039 -56.52292       0       1 
 767784       40    0.23563  0.407    0.020   0.00002     2  0.935    0.000  -92408.07  0.051  0.057   12.3      1 323.45922 -0.07901 232.33126 -56.52291       0       1 
 767784       41    1.33726  2.762    0.136   0.00120     2  0.671    0.000  -14843.81  0.051  0.057   -8.7      1 323.45894 -0.07882 232.33064 -56.52291       0       1 
 767784       42    0.23072 -0.035    0.025   0.00061     3  1.002    0.000  -58844.66  0.051  0.051   89.3      1 323.45886 -0.07874 232.33044 -56.52290       0       1 
 767784       43    0.24782  0.491    0.021   0.00019     2  0.637    0.000  -20220.58  0.051  0.057   -6.7      1 323.45854 -0.07851 232.32972 -56.52288       0       1 
 767784       44    0.23752  0.230    0.019  -0.00001     2  0.903    0.000  -27297.63  0.051  0.051   90.0      1 323.45926 -0.07899 232.33130 -56.52287       0       1 
